,ID,building_age,heat_type,heat_cost,heat_temp,building_renov,income_detailed,income,heat_type_dummy
797,10359,4,1,800,21,1,2,1,1
798,10365,2,1,1000,0,1,3,1,1
799,10368,3,4,1900,0,3,4,2,0
800,10369,3,1,1000,23,3,1,1,1
801,10373,3,7,600,22,1,4,2,0
802,10374,5,1,300,0,1,4,2,1
803,10376,1,1,5900,23,1,5,2,1
804,10378,3,7,300,0,2,1,1,0
805,10379,2,1,3224,21,2,4,2,1
806,10391,3,99,700,0,3,4,2,99
807,10392,5,1,1400,0,2,12,2,1
808,10394,3,4,3500,19,1,4,2,0
809,10401,3,4,520,21,2,4,2,0
810,10403,3,7,2000,22,1,4,2,0
811,10406,4,1,600,20,2,4,2,1
812,10408,1,8,250,17,1,3,1,0
813,10412,3,1,100,20,2,2,1,1
814,10416,5,7,0,0,2,3,1,0
815,10418,2,1,1000,0,2,1,1,1
816,10419,2,99,150,0,2,1,2,99
817,10424,3,1,1600,21,3,2,1,1
818,10429,3,7,300,21,3,4,2,0
819,10430,4,7,700,21,1,4,1,0
820,10431,3,7,600,22,3,3,1,0
821,10432,5,4,50,0,2,4,2,0
822,10433,6,1,1200,20,2,5,3,1
823,10434,4,5,2000,23,1,4,2,0
824,10437,8,6,800,21,2,4,2,0
825,10438,5,1,1100,21,2,6,3,1
826,10444,4,10,0,0,1,4,2,0
827,10446,3,1,2000,24,2,1,2,1
828,10449,3,7,137,0,2,4,2,0
829,10454,3,4,500,23,1,3,1,0
830,10455,3,5,1412,17,1,4,2,0
831,10460,5,1,1000,21,2,6,3,1
832,10465,8,7,48,20,2,1,2,0
833,10467,3,1,185,21,1,3,1,1
834,10472,2,7,1000,18,1,3,1,0
835,10476,4,7,720,21,1,4,1,0
836,10480,3,4,400,20,1,4,2,0
837,10484,4,7,300,24,1,4,2,0
838,10487,3,7,600,23,1,4,2,0
839,10490,3,7,600,18,1,4,2,0
840,10499,3,1,900,23,3,4,2,1
841,10501,4,7,800,18,2,1,2,0
842,10504,3,5,360,20,1,4,1,0
843,10506,4,7,675,21,2,4,2,0
844,10507,3,7,1000,22,1,4,2,0
845,10510,3,8,1200,0,1,5,2,0
846,10513,4,7,1500,22,1,6,3,0
847,10518,4,1,250,20,1,5,2,1
848,10521,4,1,384,20,2,4,1,1
849,10529,3,7,500,0,1,4,2,0
850,10530,4,2,1000,22,3,4,2,0
851,10539,4,4,2400,21,1,4,1,0
852,10545,3,99,480,20,2,4,2,99
853,10547,2,1,900,0,1,5,2,1
854,10548,2,1,1200,22,1,5,3,1
855,10550,2,1,858,23,2,4,1,1
856,10551,3,1,510,0,1,4,2,1
857,10557,1,1,3000,19,1,5,2,1
858,10559,3,4,850,21,3,1,2,0
859,10561,3,7,850,22,1,4,2,0
860,10562,4,7,550,22,1,4,2,0
861,10567,3,4,1000,18,1,4,1,0
862,10571,3,1,120,19,2,3,1,1
863,10586,3,4,2000,0,3,4,1,0
864,10589,3,7,348,0,2,4,1,0
865,10590,1,1,530,20,1,4,2,1
866,10592,4,5,500,0,2,4,2,0
867,10599,3,1,650,20,2,4,1,1
868,10610,3,7,150,21,1,4,1,0
869,10614,5,7,250,22,1,5,2,0
870,10615,3,1,800,0,2,1,1,1
871,10617,5,1,850,22,1,4,2,1
872,10621,3,4,2800,22,1,9,4,0
873,10622,4,5,3200,20,1,3,1,0
874,10623,3,7,375,18,1,1,2,0
875,10625,5,7,300,20,1,4,2,0
876,10627,4,99,500,22,1,2,1,99
877,10628,4,1,1400,22,1,4,2,1
878,10632,3,4,0,18,1,3,1,0
879,10633,3,99,300,20,1,3,1,99
880,10635,3,4,1600,20,3,13,3,0
881,10643,2,1,600,22,2,5,2,1
882,10645,3,4,2500,21,1,3,1,0
883,10648,1,4,700,19,2,1,1,0
884,10649,2,1,350,16,2,1,2,1
885,10650,8,7,282,18,2,1,1,0
886,10651,3,1,800,21,3,4,1,1
887,10653,5,2,0,22,2,5,2,0
888,10657,5,7,170,20,3,4,2,0
889,10660,1,8,3000,20,2,5,2,0
890,10661,3,7,1000,25,1,1,1,0
891,10664,4,1,750,21,2,4,2,1
892,10668,1,1,1200,22,1,4,1,1
893,10678,6,6,2000,0,2,7,4,0
894,10679,3,4,300,0,1,4,2,0
895,10682,4,1,1200,0,2,6,4,1
896,10683,3,1,0,0,2,4,2,1
897,10686,5,1,721,20,1,4,1,1
898,10688,3,1,600,0,3,4,2,1
899,10691,2,1,1200,20,3,5,2,1
900,10693,3,1,450,20,1,3,1,1
901,10696,5,4,800,0,2,13,1,0
902,10698,4,5,1200,22,1,1,1,0
903,10703,5,1,900,23,2,4,2,1
904,10704,4,7,544,0,2,3,1,0
905,10705,3,1,840,22,1,4,2,1
906,10706,2,99,800,22,3,4,2,99
907,10712,3,5,1000,18,2,4,2,0
908,10714,2,1,700,20,1,4,2,1
909,10719,1,1,800,20,1,4,1,1
910,10720,3,5,1600,19,1,1,2,0
911,10724,2,8,550,21,2,4,1,0
912,10728,5,7,400,22,3,13,3,0
913,10742,5,1,900,21,2,5,2,1
914,10744,3,1,2000,0,1,4,2,1
915,10745,3,1,824,22,1,13,2,1
916,10746,4,99,960,22,2,4,2,99
917,10747,1,1,1200,21,2,5,3,1
918,10752,3,8,200,20,2,1,1,0
919,10758,4,1,300,23,2,3,1,1
920,10762,3,7,960,20,1,5,3,0
921,10766,8,7,98,20,2,4,1,0
922,10767,4,1,380,23,2,4,2,1
923,10772,3,7,1200,20,1,7,4,0
924,10775,1,1,850,21,1,4,2,1
925,10783,7,7,380,21,2,4,2,0
926,10790,3,8,1500,20,1,4,2,0
927,10792,2,7,330,21,1,3,1,0
928,10793,3,1,500,20,1,4,1,1
929,10805,3,4,5000,20,1,5,3,0
930,10823,3,4,1500,22,3,2,1,0
931,10825,3,1,665,21,2,4,1,1
932,10828,1,4,650,24,3,3,1,0
933,10831,6,4,844,22,1,4,2,0
934,10832,4,99,400,0,2,3,1,99
935,10835,3,99,0,22,2,4,2,99
936,10839,2,7,540,21,2,4,2,0
937,10849,1,1,756,21,3,4,1,1
938,10852,1,8,4000,21,2,4,1,0
939,10853,4,99,120,21,2,13,4,99
940,10854,3,1,379,0,2,1,2,1
941,10857,3,5,480,20,1,3,1,0
942,10858,3,7,750,21,1,3,2,0
943,10859,4,1,300,21,1,1,1,1
944,10862,2,1,350,22,1,3,1,1
945,10863,1,2,1400,25,1,5,2,0
946,10864,3,1,20,22,1,5,2,1
947,10867,5,4,200,0,1,3,3,0
948,10870,5,1,1800,22,1,1,3,1
949,10872,1,7,0,25,3,4,2,0
950,10873,3,1,750,21,1,3,1,1
951,10874,3,4,2200,22,2,4,2,0
952,10876,3,7,700,20,1,3,1,0
953,10879,3,4,600,21,3,1,1,0
954,10881,2,99,400,0,1,6,2,99
955,10885,3,4,700,19,2,6,3,0
956,10886,1,4,1000,19,1,10,4,0
957,10896,4,99,388,22,1,4,1,99
958,10899,3,7,960,22,3,1,2,0
959,10906,3,2,650,17,1,5,2,0
960,10907,3,1,600,0,1,4,2,1
961,10908,2,1,1219,21,2,1,2,1
962,10909,3,7,350,25,2,1,1,0
963,10910,3,1,700,22,1,2,2,1
